,review_id,review_text,rating
0,1,Amazing product! Works perfectly.,4
1,2,Very disappointed. It broke after a week.,2
2,3,"Okay item, does the job.",4
3,4,"Excellent quality, highly recommend!",2
4,5,Not what I expected. Could be better.,4
5,6,"This product is just what I needed, very happy with it!",2
6,7,"Terrible experience, would not buy again.",3
7,8,"It’s fine, but not great. Just average.",1
8,9,Fantastic! Surpassed my expectations.,1
9,10,"It’s decent, but could use some improvements.",5
10,11,Best purchase I’ve made this year!,4
11,12,Absolute waste of money.,1
12,13,"Meh. It works, but I’m not thrilled.",2
13,14,Totally worth it! High quality.,2
14,15,This is the second one I’ve bought. Love it!,3
15,16,I wanted something better for the price.,4
16,17,So-so. It’s functional but lacks durability.,4
17,18,Perfect for my needs. Couldn’t be happier.,2
18,19,Complete disaster. I’m returning it.,1
19,20,"Good quality overall, though not outstanding.",2
20,21,Superb performance and very reliable.,2
21,22,Not worth the hype. Disappointing.,1
22,23,Great value for money! I’m impressed.,1
23,24,I regret buying this. Low quality.,5
24,25,"Average experience. Not bad, not great.",1
25,26,Highly recommend this to everyone.,4
26,27,The product feels cheap and poorly made.,2
27,28,Fantastic! It’s a game changer.,3
28,29,Wouldn’t recommend. It’s just not good.,5
29,30,It does what it says. Satisfied.,5
30,31,"Phenomenal quality, well worth the price.",5
31,32,Awful experience. Customer support didn’t help.,5
32,33,This exceeded my expectations. Love it!,1
33,34,Mediocre at best. Needs improvement.,1
34,35,Thrilled with this purchase. Amazing product!,4
35,36,I’m underwhelmed. Expected more.,2
36,37,Great features and easy to use.,3
37,38,"It’s functional, but I wouldn’t buy again.",3
38,39,Very pleased! I’ll buy another one.,1
39,40,Big disappointment. Don’t waste your money.,3
40,41,Sturdy and reliable. Great product!,1
41,42,Horrible quality. Falling apart after a month.,5
42,43,Decent value. Meets my needs.,1
43,44,Top-notch product! Highly recommend.,2
44,45,Could be better. It’s just okay.,3
45,46,Excellent build quality. Worth every penny.,4
46,47,So bad I returned it the next day.,4
47,48,"Does the job, but nothing special.",1
48,49,Perfect for the price. Really happy.,4
49,50,Terrible purchase. Wouldn’t recommend.,1
50,51,Exceeded my expectations. Fantastic buy!,2
51,52,Very poor performance. Avoid this product.,1
52,53,Great performance and reliable.,4
53,54,"Not great, not terrible. It’s fine.",5
54,55,Absolutely love it! Will buy more.,1
55,56,Not as advertised. A huge letdown.,5
56,57,Great product. Very satisfied.,5
57,58,Waste of money. Do not buy.,2
58,59,"Just okay. It works, but I’m not impressed.",1
59,60,Amazing performance. Highly recommend.,5
60,61,Couldn’t be happier! Fantastic product.,4
61,62,Rubbish. Completely useless.,3
62,63,"Good for the price, but not the best.",3
63,64,Best product I’ve ever purchased!,2
64,65,Broken on arrival. Terrible experience.,2
65,66,Works well. I’d buy it again.,2
66,67,Disappointing quality for the cost.,3
67,68,Does what it’s supposed to. Satisfied.,5
68,69,"High quality, well designed. Love it.",4
69,70,Below average. Expected more.,1
70,71,Fantastic features and performance!,4
71,72,Horrible. I regret this purchase.,4
72,73,"Overall, very pleased with it.",3
73,74,Falls short of expectations.,5
74,75,Reliable and works perfectly.,1
75,76,Wouldn’t recommend. Too many issues.,2
76,77,It’s great! I’ll recommend it to others.,4
77,78,Came broken. A total disaster.,3
78,79,Highly recommended! Outstanding quality.,1
79,80,Not what I hoped for. Needs improvement.,5
80,81,I’m very impressed. Great quality.,1
81,82,Disappointed. Not worth the money.,4
82,83,Super easy to set up and use.,1
83,84,Terrible experience. I want a refund.,1
84,85,"It’s fine, but I wouldn’t buy it again.",5
85,86,Works as described. No complaints.,2
86,87,Low quality. Definitely not buying again.,2
87,88,Superb! Can’t live without it now.,3
88,89,Terrible build quality. Stay away.,1
89,90,Perfect for my needs. Really happy with it.,1
90,91,Not great. Better options out there.,5
91,92,Would buy again. Highly satisfied.,3
92,93,Total waste of money. Don’t bother.,5
93,94,Great purchase. Couldn’t be more satisfied.,1
